"filename", "language", "Go", "Markdown", "JSON", "YAML", "Log", "Django HTML", "JavaScript", "PostCSS", "TypeScript", "JSON with Comments", "SCSS", "TypeScript JSX", "Svelte", "XML", "comment", "blank", "total"
"/home/danny/projects/mei/frontend/build/_app/immutable/assets/0.D7qUynoN.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/danny/projects/mei/frontend/build/_app/immutable/chunks/CG7Bv1rM.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/danny/projects/mei/frontend/build/_app/immutable/chunks/C_t2Mg_Y.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/danny/projects/mei/frontend/build/_app/immutable/chunks/DPWHifQI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/danny/projects/mei/frontend/build/_app/immutable/chunks/DsnmJJEf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/danny/projects/mei/frontend/build/_app/immutable/chunks/HfsbLtA3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"/home/danny/projects/mei/frontend/build/_app/immutable/chunks/h-Ju7Zkj.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/danny/projects/mei/frontend/build/_app/immutable/entry/app.ESlQ1dyl.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/danny/projects/mei/frontend/build/_app/immutable/entry/start.BuYGeZAB.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/danny/projects/mei/frontend/build/_app/immutable/nodes/0.BA4SZu6C.js", "JavaScript", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
"/home/danny/projects/mei/frontend/build/_app/immutable/nodes/1.CHOO8ZVt.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/danny/projects/mei/frontend/build/_app/immutable/nodes/2.Cp2-uTyJ.js", "JavaScript", 0, 0, 0, 0, 0, 0, 418, 0, 0, 0, 0, 0, 0, 0, 0, 20, 438
"/home/danny/projects/mei/frontend/build/_app/version.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/danny/projects/mei/frontend/build/index.html", "Django HTML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/home/danny/projects/mei/frontend/components.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/home/danny/projects/mei/frontend/package.json", "JSON", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"/home/danny/projects/mei/frontend/pnpm-lock.yaml", "YAML", 0, 0, 0, 3213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 886, 4099
"/home/danny/projects/mei/frontend/pnpm-workspace.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/danny/projects/mei/frontend/src/app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 15, 168
"/home/danny/projects/mei/frontend/src/components/Tiptap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 10, 6, 69
"/home/danny/projects/mei/frontend/src/components/tiptap-icons/heading-five-icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
